country,year,co2_per_capita
Cambodia,1955,0.02097835
Cambodia,1956,0.026383528
Cambodia,1957,0.031546433
Cambodia,1958,0.03789737
Cambodia,1959,0.03984899
Cambodia,1960,0.043027073
Cambodia,1961,0.051298343
Cambodia,1962,0.054018922
Cambodia,1963,0.06669813
Cambodia,1964,0.056696344
Cambodia,1965,0.062149886
Cambodia,1966,0.070902005
Cambodia,1967,0.06132754
Cambodia,1968,0.071384095
Cambodia,1969,0.19914453
Cambodia,1970,0.17384057
Cambodia,1971,0.033204045
Cambodia,1972,0.013725129
Cambodia,1973,0.013047393
Cambodia,1974,0.007022002
Cambodia,1975,0.007237396
Cambodia,1976,0.007763991
Cambodia,1977,0.008402838
Cambodia,1978,0.009139517
Cambodia,1979,0.005760087
Cambodia,1980,0.05496133
Cambodia,1981,0.05685465
Cambodia,1982,0.06200533
Cambodia,1983,0.06500827
Cambodia,1984,0.070207
Cambodia,1985,0.06911169
Cambodia,1986,0.06878344
Cambodia,1987,0.06648642
Cambodia,1988,0.06615843
Cambodia,1989,0.063712984
Cambodia,1990,0.17090957
Cambodia,1991,0.16969016
Cambodia,1992,0.16619474
Cambodia,1993,0.16073938
Cambodia,1994,0.15426683
Cambodia,1995,0.14958088
Cambodia,1996,0.14043684
Cambodia,1997,0.12666163
Cambodia,1998,0.15557638
Cambodia,1999,0.1544374
Cambodia,2000,0.16052713
Cambodia,2001,0.17656456
Cambodia,2002,0.1673066
Cambodia,2003,0.17265834
Cambodia,2004,0.16930257
Cambodia,2005,0.16439903
Cambodia,2006,0.20873387
Cambodia,2007,0.25209647
Cambodia,2008,0.28007478
Cambodia,2009,0.32075632
Cambodia,2010,0.34920478
Cambodia,2011,0.3582725
Cambodia,2012,0.37308234
Cambodia,2013,0.37084115
Cambodia,2014,0.43509033
Cambodia,2015,0.5241824
Cambodia,2016,0.67162997
Cambodia,2017,0.7520256
Cambodia,2018,0.85617536
Cambodia,2019,1.1303291
Cambodia,2020,1.138037
Cambodia,2021,1.1339629
Cambodia,2022,1.1399199
Cambodia,2023,1.158091
Indonesia,1889,0.000109834
Indonesia,1890,0.000434103
Indonesia,1891,0.000643768
Indonesia,1892,0.005522571
Indonesia,1893,0.01153215
Indonesia,1894,0.013567414
Indonesia,1895,0.021469774
Indonesia,1896,0.023742355
Indonesia,1897,0.030135004
Indonesia,1898,0.03469366
Indonesia,1899,0.029855609
Indonesia,1900,0.031669248
Indonesia,1901,0.057988923
Indonesia,1902,0.03929354
Indonesia,1903,0.075689495
Indonesia,1904,0.083935596
Indonesia,1905,0.101863004
Indonesia,1906,0.10853134
Indonesia,1907,0.1276842
Indonesia,1908,0.13103548
Indonesia,1909,0.14131376
Indonesia,1910,0.14272492
Indonesia,1911,0.1555235
Indonesia,1912,0.13359684
Indonesia,1913,0.13351992
Indonesia,1914,0.13475138
Indonesia,1915,0.13366841
Indonesia,1916,0.14856015
Indonesia,1917,0.15571162
Indonesia,1918,0.15424564
Indonesia,1919,0.16348104
Indonesia,1920,0.17466317
Indonesia,1921,0.1828578
Indonesia,1922,0.17123644
Indonesia,1923,0.1954948
Indonesia,1924,0.21324039
Indonesia,1925,0.22053869
Indonesia,1926,0.21825673
Indonesia,1927,0.25037822
Indonesia,1928,0.28471133
Indonesia,1929,0.3515838
Indonesia,1930,0.33852732
Indonesia,1931,0.31188893
Indonesia,1932,0.30176514
Indonesia,1933,0.32025906
Indonesia,1934,0.33989635
Indonesia,1935,0.34829396
Indonesia,1936,0.37352866
Indonesia,1937,0.4285576
Indonesia,1938,0.44542503
Indonesia,1939,0.47943395
Indonesia,1940,0.464612
Indonesia,1941,0.4216173
Indonesia,1942,0.14835915
Indonesia,1943,0.29543975
Indonesia,1944,0.13566922
Indonesia,1945,0.058662757
Indonesia,1946,0.020573946
Indonesia,1947,0.06124421
Indonesia,1948,0.23036975
Indonesia,1949,0.32020068
Indonesia,1950,0.14288735
Indonesia,1951,0.13360234
Indonesia,1952,0.17698212
Indonesia,1953,0.17779037
Indonesia,1954,0.19566832
Indonesia,1955,0.2697419
Indonesia,1956,0.27510715
Indonesia,1957,0.2753587
Indonesia,1958,0.26564842
Indonesia,1959,0.2778139
Indonesia,1960,0.24219868
Indonesia,1961,0.28638875
Indonesia,1962,0.2460475
Indonesia,1963,0.23698863
Indonesia,1964,0.22638284
Indonesia,1965,0.24336007
Indonesia,1966,0.22520792
Indonesia,1967,0.23036587
Indonesia,1968,0.25182828
Indonesia,1969,0.29650652
Indonesia,1970,0.30946013
Indonesia,1971,0.32781327
Indonesia,1972,0.35485366
Indonesia,1973,0.39188024
Indonesia,1974,0.39847913
Indonesia,1975,0.40906373
Indonesia,1976,0.45710275
Indonesia,1977,0.5949203
Indonesia,1978,0.6617543
Indonesia,1979,0.65415555
Indonesia,1980,0.63694215
Indonesia,1981,0.6577501
